"id","module"
"HES4","blue"
"SLC25A33","blue"
"RBP7","blue"
"PGD","blue"
"AGTRAP","blue"
"CLCN6","blue"
"TNFRSF8","blue"
"TNFRSF1B","blue"
"EFHD2","blue"
"CASP9","blue"
"PADI2","blue"
"PADI4","blue"
"ARHGEF10L","blue"
"CDA","blue"
"C1QA","blue"
"EPHB2","blue"
"SRRM1","turquoise"
"CLIC4","blue"
"FGR","blue"
"THEMIS2","blue"
"SMPDL3B","blue"
"PTAFR","blue"
"LAPTM5","blue"
"AGO4","blue"
"AGO1","blue"
"THRAP3","turquoise"
"CSF3R","blue"
"MYCL","blue"
"ERMAP","blue"
"SPATA6","blue"
"FAF1","turquoise"
"IL12RB2","brown"
"GNG12-AS1","blue"
"WLS","blue"
"NEGR1","blue"
"ST6GALNAC3","blue"
"AL359762.1","blue"
"KYAT3","turquoise"
"EVI5","blue"
"LINC02785","blue"
"SORT1","blue"
"CTTNBP2NL","blue"
"RHOC","blue"
"SLC22A15","blue"
"ZNF697","blue"
"NOTCH2","blue"
"SRGAP2B","blue"
"CD160","brown"
"NBPF14","blue"
"FCGR1A","blue"
"MTMR11","blue"
"AC242988.2","blue"
"ADAMTSL4","blue"
"ADAMTSL4-AS1","blue"
"HORMAD1","blue"
"CTSS","blue"
"AL450992.3","blue"
"S100A11","blue"
"S100A9","blue"
"S100A12","blue"
"S100A6","blue"
"GATAD2B","turquoise"
"ADAM15","blue"
"SEMA4A","blue"
"ARHGEF11","blue"
"FCRL5","green"
"FCRL2","yellow"
"FCRL1","green"
"CD1D","blue"
"CD1C","blue"
"MNDA","blue"
"AIM2","yellow"
"FCER1A","blue"
"FCRL6","brown"
"PEA15","blue"
"FCER1G","blue"
"FCGR2A","blue"
"HSPA6","blue"
"FCGR3A","blue"
"FCRLA","green"
"MPZL1","blue"
"XCL2","brown"
"ATP1B1","blue"
"FASLG","brown"
"RASAL2","blue"
"RALGPS2","yellow"
"ANGPTL1","yellow"
"QSOX1","blue"
"GLUL","blue"
"NPL","blue"
"LAMC1","yellow"
"NCF2","blue"
"C1orf21","brown"
"PTGS2","blue"
"PLA2G4A","blue"
"RGS18","blue"
"AL450352.1","brown"
"RNPEP","blue"
"LGR6","brown"
"RHEX","green"
"SRGAP2","blue"
"CR2","yellow"
"CR1","blue"
"AL137789.1","blue"
"PLXNA2","blue"
"G0S2","blue"
"SLC30A1","blue"
"LPGAT1","blue"
"ATF3","blue"
"BATF3","blue"
"KCTD3","blue"
"MARC1","blue"
"HLX-AS1","blue"
"HLX","blue"
"TLR5","blue"
"RHOU","blue"
"SIPA1L2","blue"
"SLC35F3","blue"
"AL391832.2","blue"
"ARID4B","turquoise"
"LYST","blue"
"NID1","blue"
"KMO","blue"
"NLRP3","blue"
"LINC00299","brown"
"MBOAT2","blue"
"ADAM17","blue"
"FAM49A","blue"
"RHOB","blue"
"NLRC4","blue"
"RASGRP3","green"
"QPCT","blue"
"CYP1B1","blue"
"CYP1B1-AS1","blue"
"SLC8A1-AS1","blue"
"SLC8A1","blue"
"HAAO","blue"
"RHOQ","blue"
"AC018682.1","blue"
"EML6","green"
"CCDC88A","blue"
"BCL11A","blue"
"USP34","turquoise"
"AC012368.1","blue"
"SPRED2","blue"
"PLEK","blue"
"MXD1","blue"
"ZNF638","turquoise"
"DYSF","blue"
"SFXN5","blue"
"LOXL3","blue"
"DOK1","blue"
"HK2","blue"
"CAPG","blue"
"GNLY","brown"
"PTCD3","turquoise"
"IGKC","green"
"IGKV1-5","green"
"TMEM127","blue"
"TBC1D8","blue"
"IL1R2","blue"
"IL1R1","blue"
"IL18RAP","brown"
"MERTK","blue"
"IL1A","blue"
"IL1B","blue"
"IL1RN","blue"
"MARCO","blue"
"RALB","blue"
"IWS1","turquoise"
"WDR33","turquoise"
"PTPN18","blue"
"HNMT","blue"
"AC114763.1","blue"
"SPOPL","blue"
"KYNU","blue"
"ZEB2","blue"
"AC009951.5","blue"
"ZEB2-AS1","blue"
"MBD5","turquoise"
"TNFAIP6","blue"
"CACNB4","blue"
"FMNL2","blue"
"BAZ2B","blue"
"MARCH7","turquoise"
"CD302","blue"
"AC009313.1","blue"
"TANK","blue"
"GCA","blue"
"COBLL1","green"
"CYBRD1","blue"
"MAP3K20","blue"
"MAP3K20-AS1","blue"
"SESTD1","blue"
"AC096667.1","blue"
"ZNF804A","blue"
"CALCRL","blue"
"ORMDL1","turquoise"
"CLK1","turquoise"
"AC009226.1","blue"
"GPBAR1","blue"
"CATIP","blue"
"SLC11A1","blue"
"CYP27A1","blue"
"COL4A4","yellow"
"COL4A3","yellow"
"PID1","blue"
"DIS3L2","turquoise"
"AGAP1","brown"
"AC012076.1","blue"
"ARL8B","blue"
"CAMK1","blue"
"AC083855.2","blue"
"ATG7","blue"
"PPARG","blue"
"SLC6A6","blue"
"CCDC174","turquoise"
"EAF1","blue"
"ZNF385D","yellow"
"UBE2E2","blue"
"LINC02084","brown"
"EOMES","brown"
"OSBPL10","yellow"
"CMTM6","blue"
"CRTAP","blue"
"MYD88","blue"
"OXSR1","blue"
"CX3CR1","blue"
"TRAK1","blue"
"ABHD5","blue"
"CCR1","blue"
"CCR2","blue"
"SMARCC1","turquoise"
"PFKFB4","blue"
"CACNA2D2","brown"
"MAPKAPK3","blue"
"STAB1","blue"
"PRKCD","blue"
"TKT","blue"
"CACNA2D3","blue"
"TMF1","turquoise"
"FRMD4B","blue"
"MITF","blue"
"LINC00877","blue"
"ST3GAL6","blue"
"PCNP","turquoise"
"NFKBIZ","blue"
"ARHGAP31","blue"
"CD86","blue"
"CSTA","blue"
"SLC49A4","blue"
"CHST13","blue"
"PLXND1","blue"
"ATP2C1","turquoise"
"AC010210.1","blue"
"ACPP","blue"
"MRAS","blue"
"U2SURP","turquoise"
"PLSCR1","blue"
"RNF13","blue"
"P2RY13","blue"
"PTX3","blue"
"MFSD1","blue"
"PPM1L","blue"
"SERPINI2","blue"
"WDR49","blue"
"GOLIM4","blue"
"PLD1","blue"
"GNB4","blue"
"B3GNT5","blue"
"IGF2BP2","blue"
"DGKG","blue"
"EIF4A2","turquoise"
"BCL6","blue"
"TP63","green"
"HES1","blue"
"SPON2","brown"
"LINC002481","brown"
"SLC2A9","blue"
"AC092546.1","blue"
"BST1","blue"
"FGFBP2","brown"
"CCDC149","blue"
"DTHD1","brown"
"AC104078.2","brown"
"TLR10","yellow"
"TLR6","blue"
"RBM47","blue"
"AC108210.1","blue"
"SCFD2","turquoise"
"HOPX","brown"
"IGFBP7","blue"
"YTHDC1","turquoise"
"JCHAIN","green"
"SLC4A4","brown"
"CXCL8","blue"
"CXCL3","blue"
"CXCL2","blue"
"EREG","blue"
"BMP2K","blue"
"RASGEF1B","blue"
"HNRNPDL","turquoise"
"HPSE","blue"
"GPAT3","blue"
"WDFY3","blue"
"ARHGAP24","blue"
"MAPK10","blue"
"SNCA","blue"
"CCSER1","yellow"
"PDLIM5","blue"
"DAPP1","blue"
"BANK1","yellow"
"AP002075.1","yellow"
"MANBA","blue"
"TET2","blue"
"SGMS2","blue"
"AC096564.1","blue"
"ANXA5","blue"
"ANKRD50","blue"
"SLC7A11","blue"
"MAML3","blue"
"TBC1D9","blue"
"LINC02432","blue"
"IL15","blue"
"GAB1","blue"
"SMAD1","blue"
"TLR2","blue"
"PDGFC","blue"
"GASK1B","blue"
