Regulator	Target	MI
ABCC5-AS1	KCNA6	1.2293362159076602
ABCC5-AS1	ENSG00000255441	1.2293362159076602
RPS3AP28	LOC101927787	1.2293362159076602
RPS3AP28	CCNA1	1.3792922544726756
RPS3AP28	LOC100419700	1.3792922544726756
RPS3AP28	IZUMO4	1.3792922544726756
RPS3AP28	SLC22A16	1.3792922544726756
RPS3AP28	TDO2	1.2293362159076602
RPS3AP28	NEFM	1.3792922544726756
RPS3AP28	ENSG00000261838	1.3792922544726756
RPS3AP28	ENSG00000206728	1.2293362159076602
RPS3AP28	ENSG00000253112	1.3792922544726756
HOXA9	FAM167A	1.2293362159076602
VSTM1	RPL5P13	1.2293362159076602
VSTM1	ENSG00000225715	1.2293362159076602
ENSG00000225936	QRSL1P3	1.3792922544726756
ENSG00000271959	FAM167A	1.2293362159076602
ENSG00000269978	IGLC2	1.2293362159076602
LOC100422398	ENSG00000227527	1.2293362159076602
LOC100422398	ENSG00000254271	1.2293362159076602
LOC100422398	ENSG00000261496	1.2293362159076602
LGALS12	ENSG00000227014	1.2293362159076602
LINC01736	FCRL1	1.2293362159076602
LINC01736	LOC100507144	1.2293362159076602
LINC01736	KRT36	1.2293362159076602
LINC01736	LINC02015	1.2293362159076602
RN7SL683P	IGLC2	1.2293362159076602
WFDC10B	ENSG00000248187	1.2293362159076602
WFDC10B	NEUROG3	1.2293362159076602
SKAP1	ENSG00000236985	1.2293362159076602
SKAP1	ENSG00000271734	1.2293362159076602
GRID2IP	SPAG6	1.2293362159076602
LOC390846	SGK2	1.3792922544726756
LOC390846	ENSG00000259445	1.3792922544726756
ENSG00000254271	NT5DC4	1.2293362159076602
TLK2P2	ENSG00000249631	1.2293362159076602
CD1A	ENSG00000241220	1.2293362159076602
ADAMTS19	HDC	1.2293362159076602
KRTAP5-11	ENSG00000255825	1.2293362159076602
KRTAP5-11	TNKS2-DT	1.2293362159076602
KRTAP5-11	ENSG00000272829	1.2293362159076602
KRTAP5-11	ENSG00000213046	1.3792922544726756
KRTAP5-11	ENSG00000267366	1.3792922544726756
KRTAP5-11	ENSG00000278881	1.3792922544726756
KRTAP5-11	ENSG00000249834	1.3792922544726756
KRTAP5-11	ENSG00000253125	1.3792922544726756
KRTAP5-11	ENSG00000228551	1.3792922544726756
FAM180B	KRT8P47	1.2293362159076602
ENSG00000223899	ENSG00000236333	1.2293362159076602
ENSG00000223899	ENSG00000229832	1.3792922544726756
ENSG00000223899	SLCO4C1	1.2293362159076602
ENSG00000223899	ENSG00000237704	1.3792922544726756
ENSG00000223899	ENSG00000267212	1.2293362159076602
ENSG00000223899	ENSG00000254088	1.2293362159076602
ENSG00000223899	LINC01711	1.2293362159076602
ENSG00000223899	RNA5SP282	1.3792922544726756
ENSG00000230063	GUCY1B2	1.2293362159076602
ENSG00000230063	ADORA1	1.2293362159076602
ENSG00000230063	ENSG00000224618	1.2293362159076602
ENSG00000230063	ENSG00000273366	1.2293362159076602
ENSG00000256694	ENSG00000217078	1.2293362159076602
WNT10A	ENSG00000253364	1.2293362159076602
ENSG00000249806	ENSG00000269038	1.2293362159076602
