Regulator	Target	MI
GOT2P7	ENSG00000254981	1.2293362159076602
H2AC17	ENSG00000230815	1.2293362159076602
RN7SL200P	ENSG00000260953	1.3792922544726756
RNU1-134P	ENSG00000242611	1.2293362159076602
RNU1-134P	ENSG00000270638	1.2293362159076602
LIPN	LOC390846	1.2293362159076602
LIPN	TMPRSS11A	1.2293362159076602
LIPN	ENSG00000256250	1.3792922544726756
LIPN	PIK3CD-AS1	1.2293362159076602
LIPN	ADH1C	1.2293362159076602
LIPN	ENSG00000279074	1.2293362159076602
LIPN	SLC39A12	1.2293362159076602
LIPN	CLCN1	1.3792922544726756
LIPN	OR52H2P	1.2293362159076602
LIPN	ZBTB44-DT	1.3792922544726756
LIPN	INHA	1.2293362159076602
LIPN	MAPK10-AS1	1.2293362159076602
LIPN	MIR5188	1.3792922544726756
PROK2	MAGEL2	1.2293362159076602
SNORA73A	RPSAP53	1.2293362159076602
SNORA73A	ENSG00000254165	1.2293362159076602
SNORA73A	ENSG00000279235	1.2293362159076602
SNORA73A	MTCYBP32	1.2293362159076602
SNORA73A	ENSG00000256568	1.2293362159076602
SNORA73A	FCF1P5	1.2293362159076602
BLACE	KLRF1	1.2293362159076602
ENSG00000214465	ENSG00000279277	1.2293362159076602
ENSG00000251409	LINC01611	1.2293362159076602
CDCA4P1	ENSG00000271926	1.3792922544726756
CDCA4P1	ZNF385D-AS1	1.3792922544726756
CDCA4P1	ENSG00000201227	1.3792922544726756
CDCA4P1	LINC00639	1.3792922544726756
CDCA4P1	RNA5SP387	1.2293362159076602
CDCA4P1	ENSG00000235669	1.3792922544726756
CDCA4P1	ENSG00000280696	1.2293362159076602
CDCA4P1	LINC00278	1.3792922544726756
CDCA4P1	ENSG00000250990	1.3792922544726756
ENSG00000261573	ENSG00000280637	1.2293362159076602
ENSG00000261573	ACOD1	1.2293362159076602
HMGB1P19	ENSG00000272861	1.2293362159076602
LOC100507144	TRBV5-1	1.2293362159076602
RNF128	NAV2-AS5	1.3792922544726756
RNF128	ENSG00000249806	1.2293362159076602
RNF128	MYO3A	1.3792922544726756
RNF128	IGHA2	1.2293362159076602
RNF128	SKAP1	1.2293362159076602
