Regulator	Target	MI
ENSG00000248925	ASS1P11	1.3792922544726756
ENSG00000248925	DDX3Y	1.3792922544726756
ENSG00000248925	ENSG00000237586	1.2293362159076602
ENSG00000248925	PRKCE-AS1	1.3792922544726756
ENSG00000248925	ZNF295-AS1	1.3792922544726756
ENSG00000248925	ENSG00000278000	1.2293362159076602
ENSG00000248925	RN7SL751P	1.3792922544726756
ENSG00000248925	XIST	1.2293362159076602
ENSG00000248925	C12orf42	1.2293362159076602
ENSG00000248925	ENSG00000253288	1.3792922544726756
ENSG00000248925	RPL12P24	1.3792922544726756
ENSG00000250290	PPFIA2-AS1	1.2293362159076602
ENSG00000236549	RPL21P16	1.2293362159076602
ENSG00000236549	LGALS12	1.2293362159076602
ENSG00000236549	CHRDL1	1.2293362159076602
ENSG00000236549	RPL27P1	1.2293362159076602
ENSG00000249852	IFNA20P	1.3792922544726756
ENSG00000249852	ENSG00000266579	1.3792922544726756
ENSG00000249852	ENSG00000226205	1.3792922544726756
ENSG00000249852	LINC00239	1.2293362159076602
ENSG00000249852	ENSG00000230035	1.2293362159076602
ENSG00000249852	ZFY	1.3792922544726756
H2AC17	ENSG00000230815	1.2293362159076602
RAB44	ENSG00000227644	1.2293362159076602
RAB44	KRTAP1-5	1.2293362159076602
RAB44	SERPINB5	1.2293362159076602
ENSG00000270980	ENSG00000225936	1.3792922544726756
ENSG00000279042	TREML2	1.2293362159076602
LOC100507144	TRBV5-1	1.2293362159076602
LINC02828	LOC100419824	1.2293362159076602
LINC02828	WNT10A	1.2293362159076602
FABP5P3	LOC101928858	1.2293362159076602
LINC01093	RPL21P16	1.2293362159076602
LINC01093	LGALS12	1.2293362159076602
LINC01093	CHRDL1	1.2293362159076602
LINC01093	RPL27P1	1.2293362159076602
SEL1L2	VPREB3	1.2293362159076602
SEL1L2	ENSG00000253755	1.2293362159076602
SEL1L2	MTND6P9	1.2293362159076602
SEL1L2	H2BC10	1.3792922544726756
SEL1L2	ENSG00000254165	1.3792922544726756
SEL1L2	MTCYBP32	1.3792922544726756
SEL1L2	NDUFAB1P1	1.3792922544726756
ENSG00000280637	ENSG00000260679	1.2293362159076602
GLULP1	LOC101927787	1.2293362159076602
GLULP1	CCNA1	1.3792922544726756
GLULP1	LOC100419700	1.3792922544726756
GLULP1	IZUMO4	1.3792922544726756
GLULP1	SLC22A16	1.3792922544726756
GLULP1	TDO2	1.2293362159076602
GLULP1	NEFM	1.3792922544726756
GLULP1	ENSG00000261838	1.3792922544726756
GLULP1	ENSG00000206728	1.2293362159076602
GLULP1	ENSG00000253112	1.3792922544726756
XCR1	ENSG00000183562	1.2293362159076602
DNASE2B	ENSG00000219392	1.2293362159076602
ENSG00000218806	ENSG00000213025	1.2293362159076602
ENSG00000218806	SLC10A4	1.2293362159076602
ENSG00000218806	ENSG00000267397	1.2293362159076602
ENSG00000218806	ENSG00000273036	1.2293362159076602
RN7SL233P	ENSG00000255825	1.2293362159076602
RN7SL233P	TNKS2-DT	1.2293362159076602
RN7SL233P	ENSG00000272829	1.2293362159076602
RN7SL233P	ENSG00000213046	1.3792922544726756
RN7SL233P	ENSG00000267366	1.3792922544726756
RN7SL233P	ENSG00000278881	1.3792922544726756
RN7SL233P	ENSG00000249834	1.3792922544726756
RN7SL233P	ENSG00000253125	1.3792922544726756
RN7SL233P	ENSG00000228551	1.3792922544726756
AIRN	ENSG00000281467	1.2293362159076602
RPS2P36	ENSG00000271709	1.2293362159076602
RPS2P36	LRRC37A6P	1.2293362159076602
ZNF534	LOC101929759	1.2293362159076602
ZNF534	ENSG00000248125	1.2293362159076602
MOGAT1	ENSG00000232963	1.2293362159076602
MOGAT1	THEM5	1.2293362159076602
RNA5SP387	C9orf152	1.2293362159076602
RNA5SP387	WNT11	1.2293362159076602
RNA5SP387	ENSG00000279041	1.3792922544726756
RNA5SP387	LINC00545	1.2293362159076602
RNA5SP387	TMEM74	1.3792922544726756
RNA5SP387	TBC1D3D	1.2293362159076602
RNA5SP387	ANKRD61	1.2293362159076602
RNA5SP387	LOC100422317	1.2293362159076602
ENSG00000267366	ENSG00000213046	1.3792922544726756
ENSG00000267366	FCRL3	1.3792922544726756
ENSG00000267366	ENSG00000249834	1.3792922544726756
ENSG00000267366	ENSG00000228551	1.3792922544726756
ENSG00000267366	ENSG00000271382	1.3792922544726756
ENSG00000267366	GRM5	1.3792922544726756
ENSG00000267366	ENSG00000250620	1.3792922544726756
ENSG00000267366	ENSG00000274363	1.3792922544726756
ENSG00000267366	RN7SL233P	1.3792922544726756
ENSG00000267366	ENSG00000257539	1.3792922544726756
ENSG00000267366	KRTAP5-11	1.3792922544726756
ENSG00000267366	LINC02899	1.3792922544726756
ENSG00000267366	RPS5P2	1.3792922544726756
ENSG00000267366	ENSG00000279463	1.3792922544726756
ENSG00000267366	PLCH2	1.3792922544726756
ENSG00000267366	ENSG00000272235	1.3792922544726756
ENSG00000267366	PRIMA1	1.3792922544726756
ENSG00000225051	ASS1P11	1.3792922544726756
ENSG00000225051	ENSG00000236333	1.3792922544726756
ENSG00000225051	LINCR-0001	1.2293362159076602
ENSG00000225051	TRPC3	1.2293362159076602
ENSG00000225051	ENSG00000237704	1.2293362159076602
ENSG00000225051	ENSG00000267212	1.3792922544726756
ENSG00000225051	ENSG00000229245	1.2293362159076602
ENSG00000225051	RPL12P24	1.3792922544726756
ENSG00000225051	PRKCE-AS1	1.3792922544726756
ENSG00000225051	ENSG00000275966	1.2293362159076602
ENSG00000225051	SLCO4C1	1.3792922544726756
ENSG00000225051	RN7SL521P	1.2293362159076602
ENSG00000225051	ENSG00000254088	1.3792922544726756
ENSG00000225051	LINC01711	1.3792922544726756
ENSG00000225051	ENSG00000279568	1.2293362159076602
ENSG00000225051	ENSG00000253288	1.3792922544726756
ENSG00000225051	LOC729558	1.2293362159076602
CA7	LGR4-AS1	1.2293362159076602
ENSG00000236182	RPL21P16	1.2293362159076602
ENSG00000236182	LGALS12	1.2293362159076602
ENSG00000236182	CHRDL1	1.2293362159076602
ENSG00000236182	RPL27P1	1.2293362159076602
ENSG00000259109	ABCC5-AS1	1.2293362159076602
ENSG00000279633	EXOC3L4	1.2293362159076602
ENSG00000279633	KLRC2	1.2293362159076602
ENSG00000279633	CYP11A1	1.2293362159076602
ENSG00000279633	ENSG00000235576	1.2293362159076602
MYBPC3	ENSG00000260197	1.3792922544726756
MYBPC3	ENSG00000230061	1.3792922544726756
MYBPC3	GLULP1	1.2293362159076602
MYBPC3	KLRC4	1.2293362159076602
MYBPC3	ENSG00000225051	1.3792922544726756
MYBPC3	ENSG00000241135	1.3792922544726756
MYBPC3	ENSG00000247011	1.2293362159076602
MYBPC3	ENSG00000225101	1.2293362159076602
MYBPC3	RPS3AP28	1.2293362159076602
MYBPC3	ENSG00000280348	1.3792922544726756
MYBPC3	SCARNA5	1.3792922544726756
MYBPC3	AMZ2P2	1.2293362159076602
MYBPC3	ENSG00000257803	1.3792922544726756
MYBPC3	SIK1	1.3792922544726756
SERPINB2	ENSG00000276527	1.2293362159076602
ENSG00000236116	ENSG00000236015	1.2293362159076602
ENSG00000237848	ENSG00000260953	1.3792922544726756
RN7SL336P	FOLR3	1.2293362159076602
KRT31	CLEC4D	1.2293362159076602
C9orf152	ENSG00000260197	1.3792922544726756
C9orf152	ENSG00000230061	1.3792922544726756
C9orf152	GLULP1	1.2293362159076602
C9orf152	KLRC4	1.2293362159076602
C9orf152	ENSG00000225051	1.3792922544726756
C9orf152	ENSG00000241135	1.3792922544726756
C9orf152	ENSG00000247011	1.2293362159076602
C9orf152	ENSG00000225101	1.2293362159076602
C9orf152	RPS3AP28	1.2293362159076602
C9orf152	ENSG00000280348	1.3792922544726756
C9orf152	SCARNA5	1.3792922544726756
C9orf152	AMZ2P2	1.2293362159076602
C9orf152	ENSG00000257803	1.3792922544726756
C9orf152	SIK1	1.3792922544726756
ENSG00000232679	ENSG00000232757	1.2293362159076602
ENSG00000231468	ENSG00000179038	1.3792922544726756
ENSG00000231468	ADGRG5	1.2293362159076602
ENSG00000231468	ENSG00000236935	1.2293362159076602
ENSG00000231468	ENSG00000233586	1.2293362159076602
ENSG00000231468	ENSG00000274478	1.2293362159076602
OR2B11	RPSAP53	1.3792922544726756
OR2B11	ENSG00000279235	1.3792922544726756
OR2B11	LINC00239	1.3792922544726756
OR2B11	ENSG00000230035	1.3792922544726756
OR2B11	ENSG00000256568	1.3792922544726756
OR2B11	FCF1P5	1.3792922544726756
ENSG00000236591	RPL21P16	1.2293362159076602
ENSG00000236591	LGALS12	1.2293362159076602
ENSG00000236591	CHRDL1	1.2293362159076602
ENSG00000236591	RPL27P1	1.2293362159076602
TNKS2-DT	ENSG00000259594	1.2293362159076602
TNKS2-DT	ENSG00000232591	1.3792922544726756
TNKS2-DT	PLPPR1	1.2293362159076602
TNKS2-DT	CDX1	1.2293362159076602
TNKS2-DT	TYRP1	1.3792922544726756
TNKS2-DT	ENSG00000228175	1.3792922544726756
TNKS2-DT	ENSG00000250934	1.2293362159076602
TNKS2-DT	ADRA1B	1.2293362159076602
TNKS2-DT	CPLX2	1.2293362159076602
TNKS2-DT	ENSG00000224442	1.2293362159076602
TNKS2-DT	ENSG00000278915	1.2293362159076602
TNKS2-DT	LINC00656	1.3792922544726756
TNKS2-DT	ENSG00000232022	1.2293362159076602
TNKS2-DT	MIR6124	1.2293362159076602
ENSG00000237576	ENSG00000273352	1.3792922544726756
ENSG00000237576	CHRM1	1.2293362159076602
ENSG00000237576	ENSG00000249609	1.2293362159076602
ENSG00000237576	ENSG00000199730	1.2293362159076602
ENSG00000237576	SNORD25	1.3792922544726756
ENSG00000237576	ENSG00000223834	1.2293362159076602
ENSG00000237576	SUSD4	1.2293362159076602
ENSG00000237576	ENSG00000260578	1.2293362159076602
ENSG00000237576	PANTR1	1.2293362159076602
ENSG00000237576	SEL1L2	1.2293362159076602
ENSG00000237576	MAPK4	1.2293362159076602
ENSG00000237576	LOC100421569	1.2293362159076602
CD5L	ENSG00000280137	1.2293362159076602
ENSG00000229672	IGLV2-11	1.2293362159076602
ENSG00000229672	ENSG00000251215	1.2293362159076602
ENSG00000251127	PPFIA2-AS1	1.2293362159076602
ENSG00000275017	IFNA20P	1.3792922544726756
ENSG00000275017	ENSG00000266579	1.3792922544726756
ENSG00000275017	ENSG00000226205	1.3792922544726756
ENSG00000275017	LINC00239	1.2293362159076602
ENSG00000275017	ENSG00000230035	1.2293362159076602
ENSG00000275017	ZFY	1.3792922544726756
ENSG00000248187	ENSG00000266088	1.2293362159076602
ENSG00000248187	RTEL1P1	1.2293362159076602
ENSG00000278000	C9orf152	1.2293362159076602
ENSG00000278000	WNT11	1.2293362159076602
ENSG00000278000	ENSG00000279041	1.3792922544726756
ENSG00000278000	LINC00545	1.2293362159076602
ENSG00000278000	TMEM74	1.3792922544726756
ENSG00000278000	TBC1D3D	1.2293362159076602
ENSG00000278000	ANKRD61	1.2293362159076602
ENSG00000278000	LOC100422317	1.2293362159076602
RPL17P1	TUBAP4	1.3792922544726756
