Regulator	Target	MI
HOXA7	ENSG00000273352	1.2293362159076602
HOXA7	SNORD25	1.2293362159076602
HOXA7	ZFY	1.2293362159076602
VSTM5	TNNC1	1.2293362159076602
VSTM5	ENSG00000258035	1.2293362159076602
ENSG00000237004	ENSG00000278526	1.2293362159076602
ENSG00000237004	ENSG00000282968	1.2293362159076602
ENSG00000241622	ENSG00000260197	1.2293362159076602
ENSG00000241622	ENSG00000280348	1.2293362159076602
ENSG00000241622	ENSG00000228175	1.2293362159076602
ENSG00000241622	ENSG00000225051	1.2293362159076602
TSPYL6	ENSG00000251188	1.2293362159076602
TSPYL6	SGK2	1.2293362159076602
TSPYL6	ENSG00000259445	1.2293362159076602
GATA5	HBA1	1.2293362159076602
GATA5	ENSG00000259677	1.2293362159076602
ENSG00000261242	CIAO2AP1	1.2293362159076602
HAGLR	RHBDL3	1.2293362159076602
HAGLR	NTSR1	1.2293362159076602
ASS1P2	CLEC12B	1.2293362159076602
MYMX	HBA1	1.2293362159076602
MYMX	ENSG00000259677	1.2293362159076602
CILP	ENSG00000213046	1.2293362159076602
CILP	ENSG00000279041	1.2293362159076602
CILP	ENSG00000249834	1.2293362159076602
CILP	ENSG00000228551	1.2293362159076602
SFTA2	RHBDL3	1.2293362159076602
SFTA2	NTSR1	1.2293362159076602
LINC00619	ENSG00000251188	1.2293362159076602
LINC00619	SGK2	1.2293362159076602
LINC00619	ENSG00000259445	1.2293362159076602
LINC01704	RHBDL3	1.2293362159076602
LINC01704	NTSR1	1.2293362159076602
EFCAB1	OR13A1	1.2293362159076602
ENSG00000259692	LINC01526	1.2293362159076602
ENSG00000183562	RN7SL801P	1.2293362159076602
CRB1	ENSG00000273812	1.2293362159076602
ENSG00000280140	RHBDL3	1.2293362159076602
ENSG00000280140	NTSR1	1.2293362159076602
ENSG00000279031	QRSL1P3	1.2293362159076602
ENSG00000279277	ENSG00000273295	1.2293362159076602
ENSG00000261970	RPSAP53	1.2293362159076602
ENSG00000261970	ENSG00000254165	1.2293362159076602
ENSG00000261970	ENSG00000279235	1.2293362159076602
ENSG00000261970	MTCYBP32	1.2293362159076602
ENSG00000261970	ENSG00000256568	1.2293362159076602
ENSG00000261970	FCF1P5	1.2293362159076602
ENSG00000261731	DDX3Y	1.2293362159076602
ENSG00000261731	ENSG00000256250	1.2293362159076602
ENSG00000261731	ZNF295-AS1	1.2293362159076602
ENSG00000261731	RN7SL751P	1.2293362159076602
TMEM31	DRICH1	1.2293362159076602
IGLV2-11	ENSG00000229672	1.2293362159076602
IGLV2-11	ENSG00000236182	1.2293362159076602
IGLV2-11	ENSG00000279822	1.2293362159076602
ENSG00000233297	ENSG00000278526	1.2293362159076602
ENSG00000233297	ENSG00000282968	1.2293362159076602
ENSG00000247345	HBA1	1.2293362159076602
ENSG00000247345	ENSG00000259677	1.2293362159076602
LHX6	CIAO2AP1	1.2293362159076602
LHX9	GUCY1B2	1.2293362159076602
LHX9	ADORA1	1.2293362159076602
LHX9	ENSG00000224618	1.2293362159076602
LHX9	ENSG00000273366	1.2293362159076602
LINC02880	RHBDL3	1.2293362159076602
LINC02880	NTSR1	1.2293362159076602
ST6GALNAC1	ENSG00000236510	1.2293362159076602
ST6GALNAC1	BNIP3P11	1.2293362159076602
ELFN1	HBA1	1.2293362159076602
ELFN1	ENSG00000259677	1.2293362159076602
ENSG00000213216	HBA1	1.2293362159076602
ENSG00000213216	ENSG00000259677	1.2293362159076602
ENSG00000267142	RPSAP53	1.2293362159076602
ENSG00000267142	ENSG00000254165	1.2293362159076602
ENSG00000267142	ENSG00000279235	1.2293362159076602
ENSG00000267142	MTCYBP32	1.2293362159076602
ENSG00000267142	ENSG00000256568	1.2293362159076602
ENSG00000267142	FCF1P5	1.2293362159076602
ENSG00000271978	ENSG00000271926	1.3792922544726756
ENSG00000271978	ZNF385D-AS1	1.3792922544726756
ENSG00000271978	ENSG00000201227	1.3792922544726756
ENSG00000271978	LINC00639	1.3792922544726756
ENSG00000271978	RNA5SP387	1.2293362159076602
ENSG00000271978	ENSG00000235669	1.3792922544726756
ENSG00000271978	ENSG00000280696	1.2293362159076602
ENSG00000271978	LINC00278	1.3792922544726756
ENSG00000271978	ENSG00000250990	1.3792922544726756
ENSG00000260810	ENSG00000237704	1.2293362159076602
AQP5	HBA1	1.2293362159076602
AQP5	ENSG00000259677	1.2293362159076602
SYNPR	RN7SKP282	1.2293362159076602
POF1B	ENSG00000239763	1.2293362159076602
SMARCE1P5	ROPN1B	1.2293362159076602
ENSG00000231138	ENSG00000278896	1.2293362159076602
XXYLT1-AS2	ENSG00000278526	1.2293362159076602
XXYLT1-AS2	ENSG00000282968	1.2293362159076602
FLJ13224	CIAO2AP1	1.2293362159076602
CHD1-DT	LINC00639	1.2293362159076602
CHD1-DT	LINC00278	1.2293362159076602
N4BP3	HBA1	1.2293362159076602
N4BP3	ENSG00000259677	1.2293362159076602
HMGCLL1	ENSG00000224593	1.2293362159076602
ENSG00000268543	CIAO2AP1	1.2293362159076602
EWSAT1	HBA1	1.2293362159076602
EWSAT1	ENSG00000259677	1.2293362159076602
ANKRD18A	ENSG00000254694	1.2293362159076602
CLDN20	ENSG00000237704	1.2293362159076602
AADACP1	TSGA10IP	1.2293362159076602
PLAAT1	ENSG00000236510	1.2293362159076602
PLAAT1	BNIP3P11	1.2293362159076602
CDCP2	C11orf94	1.2293362159076602
CDCP2	ENSG00000280205	1.2293362159076602
CDCP2	LOC100996333	1.2293362159076602
CDCP2	ENSG00000218313	1.2293362159076602
ENSG00000278648	ENSG00000278526	1.2293362159076602
ENSG00000278648	ENSG00000282968	1.2293362159076602
FAM135A-AS1	ELFN2-ENSG00000166897	1.2293362159076602
FCN3	RHBDL3	1.2293362159076602
FCN3	NTSR1	1.2293362159076602
ENSG00000221972	ENSG00000236510	1.2293362159076602
ENSG00000221972	BNIP3P11	1.2293362159076602
ENSG00000242795	RHBDL3	1.2293362159076602
ENSG00000242795	NTSR1	1.2293362159076602
TMEM252	ENSG00000251188	1.2293362159076602
TMEM252	SGK2	1.2293362159076602
TMEM252	ENSG00000259445	1.2293362159076602
PCP4	LINC01788	1.2293362159076602
ENSG00000277302	ENSG00000239763	1.2293362159076602
ENSG00000264596	LHCGR	1.3792922544726756
ENSG00000264596	RN7SKP282	1.3792922544726756
CPLX1	ENSG00000278526	1.2293362159076602
CPLX1	ENSG00000282968	1.2293362159076602
CBX2	ENSG00000251188	1.2293362159076602
CBX2	SGK2	1.2293362159076602
CBX2	ENSG00000259445	1.2293362159076602
SNORD25	ENSG00000261266	1.3792922544726756
SNORD25	ENSG00000237576	1.3792922544726756
SNORD25	CRYGN	1.2293362159076602
SNORD25	LOC100996333	1.2293362159076602
SNORD25	ENSG00000280269	1.2293362159076602
SNORD25	CT69	1.3792922544726756
SNORD25	INS	1.2293362159076602
SNORD25	LOC102723604	1.3792922544726756
SNORD25	ENSG00000250777	1.3792922544726756
SNORD25	ENSG00000280205	1.2293362159076602
SNORD25	LIPN	1.3792922544726756
SNORD25	ENSG00000218313	1.2293362159076602
SNORD25	ENSG00000232486	1.3792922544726756
SNORD25	RPRML	1.2293362159076602
SNORD25	ENSG00000230684	1.3792922544726756
SNORD25	ENSG00000274624	1.3792922544726756
SNORD25	ENSG00000230063	1.2293362159076602
ZSCAN4	ENSG00000231563	1.2293362159076602
ENSG00000232654	ENSG00000224430	1.2293362159076602
ENSG00000232654	ENSG00000279474	1.2293362159076602
ENSG00000232654	HORMAD1	1.2293362159076602
ENSG00000241537	ENSG00000259594	1.3792922544726756
ENSG00000241537	ASS1P12	1.2293362159076602
ENSG00000241537	PLPPR1	1.3792922544726756
ENSG00000241537	CDX1	1.3792922544726756
ENSG00000241537	TEX12	1.2293362159076602
ENSG00000241537	ENSG00000228175	1.2293362159076602
ENSG00000241537	ENSG00000250934	1.3792922544726756
ENSG00000241537	ADRA1B	1.3792922544726756
ENSG00000241537	CPLX2	1.3792922544726756
ENSG00000241537	ENSG00000224442	1.3792922544726756
ENSG00000241537	RPL17P22	1.2293362159076602
ENSG00000241537	ENSG00000278915	1.3792922544726756
ENSG00000241537	AK3P3	1.2293362159076602
ENSG00000241537	ENSG00000235347	1.3792922544726756
ENSG00000241537	ENSG00000232022	1.3792922544726756
ENSG00000241537	MIR6124	1.3792922544726756
ENSG00000262470	ENSG00000270030	1.2293362159076602
KRT18P7	ENSG00000236510	1.2293362159076602
KRT18P7	BNIP3P11	1.2293362159076602
ENSG00000249258	ENSG00000261970	1.2293362159076602
ENSG00000249258	CHRM1	1.3792922544726756
ENSG00000249258	ENSG00000249609	1.3792922544726756
ENSG00000249258	ENSG00000235060	1.2293362159076602
ENSG00000249258	ENSG00000199730	1.3792922544726756
ENSG00000249258	OVCH2	1.2293362159076602
ENSG00000249258	ENSG00000260578	1.3792922544726756
ENSG00000249258	PANTR1	1.3792922544726756
ENSG00000249258	NDUFAB1P1	1.3792922544726756
ENSG00000249258	SEL1L2	1.3792922544726756
ENSG00000249258	LOC100421569	1.3792922544726756
ENSG00000249258	ENSG00000273352	1.2293362159076602
ENSG00000249258	CDCP2	1.2293362159076602
ENSG00000249258	ENSG00000267142	1.2293362159076602
ENSG00000249258	H2BC10	1.3792922544726756
ENSG00000249258	SNORD25	1.2293362159076602
ENSG00000249258	ENSG00000223834	1.3792922544726756
ENSG00000249258	SUSD4	1.3792922544726756
ENSG00000249258	MAPK4	1.3792922544726756
QRFPR	SEC24AP1	1.2293362159076602
ENSG00000231739	ENSG00000251188	1.2293362159076602
ENSG00000231739	SGK2	1.2293362159076602
ENSG00000231739	ENSG00000259445	1.2293362159076602
ENSG00000227248	ENSG00000226148	1.2293362159076602
ENSG00000275322	FAM167A	1.2293362159076602
ENSG00000225192	C11orf94	1.2293362159076602
ENSG00000225192	ENSG00000280205	1.2293362159076602
ENSG00000225192	LOC100996333	1.2293362159076602
ENSG00000225192	ENSG00000218313	1.2293362159076602
ENSG00000272023	C11orf94	1.2293362159076602
ENSG00000272023	ENSG00000280205	1.2293362159076602
ENSG00000272023	LOC100996333	1.2293362159076602
ENSG00000272023	ENSG00000218313	1.2293362159076602
ENSG00000274204	ENSG00000236510	1.2293362159076602
ENSG00000274204	BNIP3P11	1.2293362159076602
CRYGN	GUCY1B2	1.2293362159076602
CRYGN	ADORA1	1.2293362159076602
CRYGN	ENSG00000224618	1.2293362159076602
CRYGN	ENSG00000273366	1.2293362159076602
