"Gene1","Gene2","Weight"
"IGHV1-69D","IGHV2-5",0.262546866447397
"IGHV4-59","IGHV3-15",0.343028551846093
"IGLV1-47","IGHV3-11",0.305689405465732
"IGKV2-24","IGHV3-66",0.261057169862061
"IGHV4-59","IGKV2D-29",0.346904710425468
"IGHV3-15","IGKV2D-29",0.340601618639785
"IGLV1-47","IGHV3-69-1",0.311223288997029
"IGHV3-11","IGHV3-69-1",0.303865930051723
"IGLV1-40","ENSG00000207833",0.278327997344947
"IGLV1-40","TRBV10-2",0.257537765217769
"TRBV6-6","TRAV3",0.272540282013044
"IGHV4-59","ENSG00000207835",0.275440140738132
"IGHV3-15","ENSG00000207835",0.269387104373903
"IGKV2D-29","ENSG00000207835",0.263518743921826
"IGHV2-5","IGHV3-7",0.250811807063434
"IGHV3-66","TRAV8-6",0.252903096505831
"TRAV3","TRAV8-6",0.265684462998326
"ZDHHC20P1","TRAV8-6",0.260033089849886
"TRBV6-6","TRBV3-1",0.276993356477101
"TRAV3","TRBV3-1",0.270391473952485
"TRBV6-6","ENSG00000229590",0.257506717986123
"TRBV3-1","ENSG00000229590",0.287603925781835
"TRAV27","ENSG00000229590",0.255764583086314
"TRAV27","TRAV1-2",0.25733778513911
"TRBV3-1","CCR8",0.252008261566226
"TRAV27","CCR8",0.276302999099117
"ENSG00000229590","CCR8",0.254365797780444
"TRAV1-2","CCR8",0.272310237636312
"IGHV3-66","GPR25",0.260254020634134
"TRAV3","GPR25",0.255672568622776
"ZDHHC20P1","GPR25",0.256673717657781
"TRAV8-6","GPR25",0.269255730166246
"TRBV3-1","GPR25",0.253005701629704
"TRBV19","GPR25",0.269628381601751
"TRBV3-1","TRBV18",0.266195851716949
"TRBV3-1","TRAV8-2",0.258330715308403
"TRAV27","TRAV8-2",0.285139656045886
"ENSG00000229590","TRAV8-2",0.265990783237402
"CCR8","TRAV8-2",0.275973442023669
"IGHV3-66","ENSG00000229313",0.259142514779642
"ZDHHC20P1","ENSG00000229313",0.250356660348182
"TRBV19","ENSG00000229313",0.263537714387173
"CCR8","ENSG00000229313",0.255465282717495
"GPR25","ENSG00000229313",0.275478198920863
"TRAV27","GPR15",0.260422622659622
"CCR8","GPR15",0.251810550966121
"TRAV8-2","GPR15",0.263798240666598
"TRAV8-2","TRAV36DV7",0.254848223121629
"TRBV3-1","TRAV5",0.258934779419031
"TRAV27","TRAV5",0.257330190286234
"ENSG00000229590","TRAV5",0.255582400838756
"CCR8","TRAV5",0.263653807532955
"TRAV8-2","TRAV5",0.258959467857673
"GPR25","IL2",0.256895818711372
"ENSG00000229313","IL2",0.252592572406752
"TRAV3","IL18RAP",0.252211098397892
"TRAV8-6","IL18RAP",0.256807013667836
"GPR25","IL18RAP",0.26608093663825
"TRAV3","ENSG00000255026",0.259263928269868
"TRAV8-6","ENSG00000255026",0.252254362916061
"TRBV3-1","TRAV13-1",0.255326290699673
"CCR8","TRAV13-1",0.252042877288494
"GPR25","TRAV13-1",0.26585700909453
"ENSG00000229313","TRAV13-1",0.259610546047767
"ENSG00000273650","TUBAL3",0.255759560290476
"LINC01915","TUBAL3",0.275109743901867
"ENSG00000277489","TUBAL3",0.274503926323163
"TRBJ1-2","TRAT1",0.250133775559363
"TRAT1","IFNG",0.311912867130519
"TRAT1","FASLG",0.286431162795979
"IFNG","FASLG",0.273372721647767
"TRAT1","UBASH3A",0.271811179793033
"IFNG","UBASH3A",0.255192255172898
"TUBAL3","ENSG00000205018",0.261821162532032
"TRAT1","TRAV8-3",0.252372556162096
"UBASH3A","TRAV8-3",0.250595054944125
"TRAT1","GZMH",0.330131843352354
"IFNG","GZMH",0.312333201495156
"FASLG","GZMH",0.283643529055322
"TRGC1","GZMH",0.251477453154527
"UBASH3A","GZMH",0.272848524190932
"ENSG00000278722","ENSG00000280032",0.264034822350731
"ENSG00000257346","ENSG00000280032",0.256929777452192
"LINC01915","LCN10",0.262666035890703
"ENSG00000277489","LCN10",0.252053425874488
"TUBAL3","LCN10",0.279270821555396
"ENSG00000205018","LCN10",0.266489277005567
"LCN10","LINC01117",0.252407643048238
"TUBAL3","EFCC1",0.293140692111013
"ENSG00000205018","EFCC1",0.253173428773619
"LCN10","EFCC1",0.29004775869086
"TRBV20-1","P2RY10",0.259247665121429
"TRAT1","P2RY10",0.314706665972416
"IFNG","P2RY10",0.315860421734346
"FASLG","P2RY10",0.282557820168365
"UBASH3A","P2RY10",0.270910590426853
"TRAV8-3","P2RY10",0.258719840944871
"GZMH","P2RY10",0.339796197201819
"ENSG00000280032","GATA5",0.281038938112138
