,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15
ADORA1,-0.379865523650279,0.0546608882555958,0.47678328087254,0.282516874690645,0.114477013753067,0.559889851240385,-0.792117792947676,0.457391862576936,-0.142733207413967,-0.65878370018609,1.14210561674915,-1.23448879328353,0.101044952061577,-1.65831865097378,-0.530416641004671
ASCL1,-0.173782722594351,-0.0969563058297018,0.377288321962112,2.36540795829532,-0.215416576449532,0.0514972714185953,1.52224838483402,-0.239940028135157,0.156586749138908,0.00692214719452551,1.9242915227596,0.367759047388801,1.74176853328929,-0.888849218560793,-0.403285314385898
ASS1P11,-1.03490314164475,-1.19829423070571,0.387800460164566,0.322092535877317,1.45374758295434,-0.505140172899636,-1.51425429662875,-0.0968927563426373,-0.000611024989582614,0.56401120507194,0.543669961040519,0.236419775680753,0.86344294133807,-1.41683813535166,-0.263522525858893
C7orf57,-0.0708850603200142,-0.0722681631303477,1.42855436507608,-0.182638383811093,0.300488977788698,-0.241003111995522,0.937792320583045,1.54006389900471,1.54111336954462,-1.0929353042645,1.33395172469725,1.41003044257959,0.754862982072757,1.00329211219223,-0.691932868724613
C9orf152,-0.333201420814422,-0.194977362650487,0.535305228848421,-0.25751047135158,-0.941205426766483,0.115031586692249,-0.159107152135626,0.160995257162721,0.23121953188349,1.00377542072232,0.78959352642748,-0.194486182442758,-0.0293021980301602,-1.4012550338111,0.628325113631915
CDCA4P1,-0.109755564596194,-0.383145856819845,1.00711124202978,-0.21703719544646,-1.25650921263915,0.464692680454607,0.233681003679932,-0.0871645744262505,0.172346328597579,0.106904982851913,0.658740412011916,0.519751856822553,-0.00923720640723793,0.240350732812367,0.00888482663192397
CLCN1,-0.391267957129181,-0.498865240020147,0.29395425415145,-0.337617045269392,0.12657350416317,0.0952937455246559,-0.992435036262543,0.181228788709013,0.66789261141486,-0.0547778742911866,-0.619687691510036,0.318504990476725,0.171596969751696,-0.276992385642384,1.38230564077643
CLEC1B,-0.255781361221914,-0.560040716876324,-1.09585004548088,-0.618253249103645,-0.474734073161022,0.31661182729257,1.03133622121055,0.945565844890863,0.0772486103046349,-0.842505684201012,-0.504490791444126,-0.926644031367266,-0.12632286237786,0.24849258196706,-0.79575376559707
CPNE9,0.55355547757215,0.00464325697087488,-0.0075104978420422,-0.994846231184276,-0.218218703771411,-0.267131944442002,0.028281571663672,-0.074914523720959,-0.715872170259317,-0.975169157484237,-0.218633713055008,-0.14289104144559,-0.310178472331917,0.968026282385018,0.828152448409407
CT69,-0.0680663102856513,-1.93759005153466,-0.712408810573111,-1.05134819303976,-0.195161089596509,0.0252013587327254,-0.248396517029465,0.752717941795582,1.3542266262458,0.162651969945036,0.00559715307597117,-0.318133838540229,-0.422621013680146,-0.0826394188410666,0.425843716020128
CTCF-DT,-0.0749390505711723,0.506538035335924,1.0590123323799,-0.409300488423166,-0.258132335895872,-0.405395427101562,-0.0201874451217445,0.213477436767087,0.071838009642465,-2.01508535104465,0.7018347836451,-0.483056420994338,-0.0794329366175858,0.741073817175456,0.664520584425341
