gene	module	module_membership	kWithin	kTotal	kWithin_quantile	is_hub
WRNIP1	black	0.948591862369681	32.9872538012057	108.326298325105	1	TRUE
STXBP4	black	0.915077440242544	29.9713462905155	103.266940391959	0.994949494949495	TRUE
TASP1	black	0.865488957610575	28.269006629747	76.6084417095732	0.98989898989899	TRUE
ZNF814	black	0.899817651111282	27.978098931537	110.330599401843	0.984848484848485	TRUE
CHORDC1	black	0.933539383402141	27.4438363587194	91.3762335692391	0.97979797979798	TRUE
PPP2R1B	black	0.933135729790412	27.3266344214983	85.0995184054626	0.974747474747475	TRUE
MTA3	black	0.864188128027686	27.0765623474762	117.631949585078	0.96969696969697	TRUE
COPS7B	black	0.91024692302585	26.9957755094075	89.2332506683771	0.964646464646465	TRUE
MNAT1	black	0.912137529351835	26.8699501449333	82.0371157487588	0.95959595959596	TRUE
TTF1	black	0.914181561174432	26.5944465302031	89.4908719357417	0.954545454545455	TRUE
ACACA	black	0.923345314241764	26.0730530790792	78.4178679789349	0.94949494949495	TRUE
ZNF789	black	0.916430726335485	26.0101263756537	87.020425644526	0.944444444444444	TRUE
UHRF1	black	0.865867877020646	25.6076397567354	109.912417885923	0.939393939393939	TRUE
ERG28	black	0.867756088496887	25.2411378075647	131.313465646572	0.934343434343434	TRUE
NUP160	black	0.823845525395463	25.2134805902571	123.471824295634	0.929292929292929	TRUE
AC139530.1	black	0.93288327430792	25.1686621231936	66.8187992811172	0.924242424242424	TRUE
AC106818.2	black	0.904353265537398	24.7257980850453	79.2806303943767	0.919191919191919	TRUE
SLC25A45	black	0.852492191601801	24.5031783965731	98.683931624951	0.914141414141414	TRUE
HACD3	black	0.894962095604026	24.3659102647958	81.9014761363436	0.909090909090909	TRUE
STAMBPL1	black	0.863909058194269	23.9255365366558	79.9322565529817	0.904040404040404	TRUE
ZFP30	black	0.894532494026898	23.8497984502272	72.4547726204692	0.898989898989899	TRUE
AC006299.1	black	0.87109357581443	23.6213650381822	93.4068857681358	0.893939393939394	TRUE
PPM1K	black	0.826123647315536	23.4216280282462	75.725174592879	0.888888888888889	TRUE
DXO	black	0.931993041992335	23.3716156463333	60.5428882309508	0.883838383838384	TRUE
PWWP3A	black	0.888439982776776	23.3146151534336	68.3812553354651	0.878787878787879	TRUE
KDM4A-AS1	black	0.880252998021823	22.4031219476831	62.169357584954	0.873737373737374	TRUE
WDR35	black	0.890929105394844	22.3120459556473	57.5911192334987	0.868686868686869	TRUE
AARSD1	black	0.835946106580339	22.2114266201937	116.69995714744	0.863636363636364	TRUE
DPH6	black	0.860832756797196	22.1395058068802	96.001937703232	0.858585858585859	TRUE
MCM6	black	0.866997786410478	22.0133405235121	70.8304453615315	0.853535353535353	TRUE
AC009318.1	black	0.86458104682522	21.9182688919858	85.3824452591179	0.848484848484849	TRUE
ZNF431	black	0.866081255454717	21.9088029784121	126.78908673147	0.843434343434343	TRUE
KLHL3	black	0.804258625054836	21.8709577355557	134.537401627618	0.838383838383838	TRUE
SLC35E2A	black	0.899190332061893	21.6887734757608	64.7360773660312	0.833333333333333	TRUE
LSS	black	0.838929698529813	21.5986159874039	68.6604536307895	0.828282828282828	TRUE
CDC37L1	black	0.841070536425692	21.3260055660445	92.8625015132923	0.823232323232323	TRUE
AC022146.2	black	0.775272509849207	20.9629218303367	63.5445219264237	0.818181818181818	TRUE
SGF29	black	0.921109611323401	20.930602084759	64.5449619291036	0.813131313131313	TRUE
HACE1	black	0.859908156885365	20.9296241461038	76.996754399701	0.808080808080808	TRUE
ZNF43	black	0.860364859035436	20.8660427485881	110.151154488182	0.803030303030303	TRUE
ARHGEF9	black	0.839491536459721	20.7164789440571	110.463318358287	0.792929292929293	TRUE
PKD2L2	black	0.893650023322272	20.6699408392134	57.4125589440533	0.787878787878788	TRUE
LINC01184	black	0.775246096898328	20.5640684031681	96.4726439777602	0.782828282828283	TRUE
POT1	black	0.846873803918395	20.2468839414021	118.448402284364	0.772727272727273	TRUE
WARS2-AS1	black	0.813351023041211	20.1554383311359	68.3710087012745	0.767676767676768	TRUE
RPA1	black	0.856600206155832	19.8376531712186	96.3678749560142	0.762626262626263	TRUE
L3MBTL1	black	0.886299297175706	19.5756074133425	49.4243189766423	0.757575757575758	TRUE
ZNF699	black	0.830261038346578	19.3193441052276	113.646867509248	0.752525252525252	TRUE
DOCK9	blue	0.971578492229293	175.7610433259	238.2040025189	1	TRUE
BCL11B	blue	0.962492255228002	170.858912603751	212.046506345867	0.998915401301518	TRUE
TCF7	blue	0.960552018567942	167.878250456994	207.832882722355	0.997830802603037	TRUE
CD6	blue	0.948343574017531	167.809265153256	204.875806658914	0.996746203904555	TRUE
PLCG1	blue	0.960206739213828	165.03665649644	219.828681758462	0.995661605206074	TRUE
RASGRF2	blue	0.937736128152697	163.589399818013	207.932123622656	0.994577006507592	TRUE
