gene_id	colors
LINC01128	turquoise
HES4	blue
ISG15	turquoise
C1orf159	turquoise
TNFRSF18	turquoise
TNFRSF4	turquoise
SDF4	turquoise
B3GALT6	turquoise
UBE2J2	turquoise
ACAP3	turquoise
PUSL1	turquoise
DVL1	turquoise
AURKAIP1	turquoise
CCNL2	turquoise
MRPL20	turquoise
ATAD3B	turquoise
SSU72	turquoise
MIB2	turquoise
MMP23B	grey
SLC35E2B	turquoise
CDK11A	turquoise
SLC35E2A	turquoise
GNB1	turquoise
PRKCZ	turquoise
SKI	turquoise
PLCH2	turquoise
TNFRSF14	turquoise
PRXL2B	turquoise
MEGF6	turquoise
TPRG1L	turquoise
CEP104	turquoise
DFFB	turquoise
C1orf174	turquoise
AL365255.1	turquoise
KCNAB2	turquoise
RPL22	turquoise
ACOT7	turquoise
TNFRSF25	turquoise
NOL9	turquoise
KLHL21	turquoise
THAP3	turquoise
DNAJC11	turquoise
CAMTA1	turquoise
PARK7	turquoise
ERRFI1	turquoise
RERE	turquoise
ENO1	turquoise
CA6	turquoise
GPR157	turquoise
H6PD	turquoise
SPSB1	turquoise
SLC25A33	blue
PIK3CD	turquoise
PIK3CD-AS2	turquoise
CLSTN1	turquoise
CTNNBIP1	turquoise
LZIC	turquoise
RBP7	blue
UBE4B	turquoise
KIF1B	turquoise
PGD	blue
DFFA	turquoise
PEX14	turquoise
CASZ1	turquoise
TARDBP	turquoise
EXOSC10	turquoise
AL109811.1	turquoise
UBIAD1	turquoise
FBXO2	turquoise
FBXO44	turquoise
AGTRAP	blue
CLCN6	blue
AL021155.5	turquoise
TNFRSF8	blue
TNFRSF1B	blue
VPS13D	turquoise
DHRS3	turquoise
PRDM2	turquoise
KAZN	turquoise
EFHD2	blue
CASP9	blue
DNAJC16	turquoise
AGMAT	turquoise
DDI2	turquoise
ZBTB17	turquoise
FBXO42	turquoise
SZRD1	turquoise
SPATA21	turquoise
NECAP2	turquoise
LINC01772	turquoise
BX284668.6	turquoise
SDHB	turquoise
PADI2	blue
PADI4	blue
ARHGEF10L	blue
IFFO2	turquoise
UBR4	turquoise
EMC1-AS1	turquoise
AKR7A2	turquoise
CAPZB	turquoise
MICOS10	turquoise
AL031727.2	turquoise
NBL1	turquoise
TMCO4	turquoise
OTUD3	turquoise
CAMK2N1	turquoise
CDA	blue
PINK1	turquoise
DDOST	turquoise
HP1BP3	turquoise
EIF4G3	turquoise
ECE1	turquoise
AL031728.1	turquoise
NBPF3	turquoise
USP48	turquoise
CDC42	turquoise
ZBTB40	turquoise
C1QA	blue
EPHB2	blue
AL031428.1	turquoise
LUZP1	turquoise
HNRNPR	turquoise
TCEA3	turquoise
ID3	turquoise
MDS2	turquoise
RPL11	turquoise
PITHD1	turquoise
LYPLA2	turquoise
CNR2	grey
PNRC2	turquoise
SRSF10	turquoise
NIPAL3	turquoise
RCAN3AS	turquoise
RCAN3	turquoise
NCMAP-DT	turquoise
SRRM1	turquoise
CLIC4	blue
RUNX3	turquoise
SYF2	turquoise
RSRP1	turquoise
RHD	turquoise
TMEM50A	turquoise
RHCE	turquoise
LDLRAP1	turquoise
AL606491.1	turquoise
MAN1C1	turquoise
AL031280.1	turquoise
SELENON	turquoise
STMN1	turquoise
PAFAH2	turquoise
CEP85	turquoise
SH3BGRL3	turquoise
UBXN11	turquoise
CD52	turquoise
